time,id,hardware_version,software_version,state,uptime,snr,seconds_to_first_nonempty_slot,pop_ping_drop_rate,downlink_throughput_bps,uplink_throughput_bps,pop_ping_latency_ms,alerts,fraction_obstructed,currently_obstructed,seconds_obstructed,obstruction_duration,obstruction_interval,direction_azimuth,direction_elevation,is_snr_above_noise_floor,wedges_fraction_obstructed,raw_wedges_fraction_obstructed,valid_s,alert_motors_stuck,alert_thermal_throttle,alert_thermal_shutdown,alert_mast_not_near_vertical,alert_unexpected_location,alert_slow_ethernet_speeds,alert_slow_ethernet_speeds_100,alert_roaming,alert_install_pending,alert_is_heating,alert_power_supply_thermal_throttle,alert_is_power_save_idle,alert_moving_while_not_mobile,alert_moving_too_fast_for_policy,alert_dbf_telem_stale,alert_low_motor_current,alert_lower_signal_than_predicted,alert_obstruction_map_reset,latitude,longitude,altitude
1733514274,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,120499,,0.0,1.0,0.0,10418.6513671875,0.0,131136,0.632938265800476,0,,11.5439281463623,133.33332824707,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733514304,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,120529,,0.0,1.0,0.0,12733.9072265625,0.0,131136,0.632938265800476,0,,11.5439281463623,133.33332824707,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733514334,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,120559,,0.0,1.0,0.0,9865.0029296875,0.0,131136,0.632938265800476,0,,11.5439281463623,133.33332824707,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733514364,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,CONNECTED,120589,,0.0,0.0,4294.96728515625,9865.0029296875,0.0,131136,0.632938265800476,0,,11.5439281463623,133.33332824707,-1.42898678779602,62.09716796875,1,,,,,,,,,,,,,,,,,,,,,,,,
1733514394,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,120619,,0.0,1.0,0.0,11140.0712890625,0.0,131136,0.632938265800476,0,,11.5622549057007,132.923080444336,-8.42661094665527,64.068733215332,1,,,,,,,,,,,,,,,,,,,,,,,,
1733514424,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,120649,,0.0,1.0,0.0,11425.2841796875,0.0,131136,0.632938265800476,0,,11.5622549057007,132.923080444336,-16.2673072814941,65.1062774658203,1,,,,,,,,,,,,,,,,,,,,,,,,
1733514454,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,120679,,0.0,1.0,0.0,14008.9755859375,0.0,131136,0.632938265800476,0,,11.5622549057007,132.923080444336,-24.6200637817383,65.8053131103516,1,,,,,,,,,,,,,,,,,,,,,,,,
1733514484,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,120709,,0.0,1.0,0.0,10586.4228515625,0.0,131136,0.632938265800476,0,,11.5622549057007,132.923080444336,-33.218921661377,66.3175811767578,1,,,,,,,,,,,,,,,,,,,,,,,,
1733514514,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,120739,,0.0,1.0,0.0,11140.0712890625,0.0,131136,0.633132934570313,0,,11.5622549057007,132.923080444336,-41.9546966552734,66.3365631103516,1,,,,,,,,,,,,,,,,,,,,,,,,
1733514544,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,120769,,0.0,1.0,0.0,12733.9072265625,0.0,131136,0.633132934570313,0,,11.5622549057007,132.923080444336,-50.7101440429688,65.9339981079102,0,,,,,,,,,,,,,,,,,,,,,,,,
